family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,7,20262327,68,logn2.5,transfer_1,20,0.5493273229965384,0.8086449028512519,0.2593175798547135
ER(0.5),16,7,20262327,68,logn2.5,transfer_2,20,0.41381362938109534,0.8086449028512519,0.39483127347015656
ER(0.5),16,7,20262327,68,logn2.5,transfer_3,20,0.534870097277803,0.8086449028512519,0.2737748055734489
ER(0.5),16,7,20262327,68,logn2.5,universal,20,0.6322513110269958,0.8086449028512519,0.17639359182425607
ER(0.5),16,8,20262328,57,logn2.5,ceiling,10,0.8286018911501059,0.8286018911501059,0.0
ER(0.5),16,8,20262328,57,logn2.5,binned_exact,10,0.7922624786889061,0.8286018911501059,0.03633941246119976
ER(0.5),16,8,20262328,57,logn2.5,binned_sampled,10,0.7922624786889061,0.8286018911501059,0.03633941246119976
ER(0.5),16,8,20262328,57,logn2.5,transfer_1,10,0.5350657839549887,0.8286018911501059,0.29353610719511714
ER(0.5),16,8,20262328,57,logn2.5,transfer_2,10,0.8178109214043596,0.8286018911501059,0.010790969745746226
ER(0.5),16,8,20262328,57,logn2.5,transfer_3,10,0.7410931080368129,0.8286018911501059,0.08750878311329291
ER(0.5),16,8,20262328,57,logn2.5,universal,10,0.7844718105587097,0.8286018911501059,0.044130080591396115
ER(0.5),16,8,20262328,57,logn2.5,ceiling,20,0.8586938497505298,0.8586938497505298,0.0
ER(0.5),16,8,20262328,57,logn2.5,binned_exact,20,0.8301478914529676,0.8586938497505298,0.028545958297562124
ER(0.5),16,8,20262328,57,logn2.5,binned_sampled,20,0.8301478914529676,0.8586938497505298,0.028545958297562124
ER(0.5),16,8,20262328,57,logn2.5,transfer_1,20,0.5138773637184589,0.8586938497505298,0.3448164860320708
ER(0.5),16,8,20262328,57,logn2.5,transfer_2,20,0.8057998644149558,0.8586938497505298,0.05289398533557399
ER(0.5),16,8,20262328,57,logn2.5,transfer_3,20,0.6319026887258593,0.8586938497505298,0.22679116102467045
ER(0.5),16,8,20262328,57,logn2.5,universal,20,0.7521041232531804,0.8586938497505298,0.10658972649734932
ER(0.5),16,9,20262329,66,logn2.5,ceiling,10,0.815135143521234,0.815135143521234,0.0
ER(0.5),16,9,20262329,66,logn2.5,binned_exact,10,0.770801371605962,0.815135143521234,0.04433377191527199
ER(0.5),16,9,20262329,66,logn2.5,binned_sampled,10,0.770801371605962,0.815135143521234,0.04433377191527199
ER(0.5),16,9,20262329,66,logn2.5,transfer_1,10,0.6680160646891314,0.815135143521234,0.1471190788321025
ER(0.5),16,9,20262329,66,logn2.5,transfer_2,10,0.7467784236261684,0.815135143521234,0.06835671989506553
ER(0.5),16,9,20262329,66,logn2.5,transfer_3,10,0.8013292641935699,0.815135143521234,0.013805879327664083
ER(0.5),16,9,20262329,66,logn2.5,universal,10,0.6959321783538458,0.815135143521234,0.11920296516738815
ER(0.5),16,9,20262329,66,logn2.5,ceiling,20,0.7999632103424372,0.7999632103424372,0.0
ER(0.5),16,9,20262329,66,logn2.5,binned_exact,20,0.7876395572359396,0.7999632103424372,0.012323653106497634
ER(0.5),16,9,20262329,66,logn2.5,binned_sampled,20,0.7806812722172208,0.7999632103424372,0.01928193812521639
ER(0.5),16,9,20262329,66,logn2.5,transfer_1,20,0.5865727731084849,0.7999632103424372,0.21339043723395235
ER(0.5),16,9,20262329,66,logn2.5,transfer_2,20,0.611331054413487,0.7999632103424372,0.18863215592895022
