family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),12,25,20271836,2,3,0.8726015504463356,0.8740596554588987,0.00145810501256316
ER(0.5),12,25,20271836,3,1,0.7692869693268627,0.7735666880312357,0.004279718704373048
ER(0.5),12,25,20271836,3,3,0.8666159698811132,0.8740596554588987,0.007443685577785519
ER(0.5),12,26,20271837,1,1,0.8097318232544978,0.8097318232544978,0.0
ER(0.5),12,26,20271837,1,3,0.9038537115702712,0.9079532027272431,0.004099491156971946
ER(0.5),12,26,20271837,2,1,0.8092670462137045,0.8097318232544978,0.00046477704079328497
ER(0.5),12,26,20271837,2,3,0.8984544700985194,0.9079532027272431,0.009498732628723694
ER(0.5),12,26,20271837,3,1,0.8097318232544978,0.8097318232544978,0.0
ER(0.5),12,26,20271837,3,3,0.8992960681300788,0.9079532027272431,0.008657134597164329
ER(0.5),12,27,20271838,1,1,0.8434276857884183,0.8451098368951856,0.0016821511067672823
ER(0.5),12,27,20271838,1,3,0.9241780635298474,0.9267914331062319,0.002613369576384472
ER(0.5),12,27,20271838,2,1,0.8391041929375772,0.8451098368951856,0.006005643957608386
ER(0.5),12,27,20271838,2,3,0.9036495711632363,0.9267914331062319,0.023141861942995612
ER(0.5),12,27,20271838,3,1,0.8434276857884183,0.8451098368951856,0.0016821511067672823
ER(0.5),12,27,20271838,3,3,0.9237122967412451,0.9267914331062319,0.003079136364986801
ER(0.5),12,28,20271839,1,1,0.7999621497675097,0.8026886417530738,0.0027264919855640724
ER(0.5),12,28,20271839,1,3,0.8879758373553452,0.8895754550797096,0.001599617724364344
ER(0.5),12,28,20271839,2,1,0.8020357677381837,0.8026886417530738,0.0006528740148900036
ER(0.5),12,28,20271839,2,3,0.8708243837263723,0.8895754550797096,0.018751071353337312
ER(0.5),12,28,20271839,3,1,0.7999621497675097,0.8026886417530738,0.0027264919855640724
ER(0.5),12,28,20271839,3,3,0.8895754550797096,0.8895754550797096,0.0
ER(0.5),12,29,20271840,1,1,0.7691636106610023,0.7694442554808677,0.00028064481986544987
ER(0.5),12,29,20271840,1,3,0.8631519079343535,0.8766455200383864,0.013493612104032882
ER(0.5),12,29,20271840,2,1,0.7680672761125901,0.7694442554808677,0.001376979368277631
ER(0.5),12,29,20271840,2,3,0.8677512177197463,0.8766455200383864,0.00889430231864008
ER(0.5),12,29,20271840,3,1,0.7691636106610023,0.7694442554808677,0.00028064481986544987
ER(0.5),12,29,20271840,3,3,0.8560294230062283,0.8766455200383864,0.020616097032158054
ER(0.5),12,30,20271841,1,1,0.826690333610584,0.8277216232723161,0.0010312896617321599
ER(0.5),12,30,20271841,1,3,0.9062188938167647,0.9077395546280533,0.0015206608112886544
ER(0.5),12,30,20271841,2,1,0.823017718818493,0.8277216232723161,0.004703904453823182
ER(0.5),12,30,20271841,2,3,0.8848635113613059,0.9077395546280533,0.022876043266747415
ER(0.5),12,30,20271841,3,1,0.826690333610584,0.8277216232723161,0.0010312896617321599
ER(0.5),12,30,20271841,3,3,0.906694038403995,0.9077395546280533,0.0010455162240583515
ER(0.5),14,1,20272012,1,1,0.8354970048005393,0.835539936227498,4.2931426958658925e-5
ER(0.5),14,1,20272012,1,3,0.9096989164633342,0.912856104603816,0.003157188140481826
ER(0.5),14,1,20272012,2,1,0.834952855703662,0.835539936227498,0.0005870805238360477
ER(0.5),14,1,20272012,2,3,0.8869704811838316,0.912856104603816,0.02588562341998446
ER(0.5),14,1,20272012,3,1,0.8354970048005393,0.835539936227498,4.2931426958658925e-5
ER(0.5),14,1,20272012,3,3,0.9102553085820084,0.912856104603816,0.0026007960218076276
ER(0.5),14,2,20272013,1,1,0.8298849082416899,0.8332244475045842,0.00333953926289432
ER(0.5),14,2,20272013,1,3,0.8944446235059709,0.9008575628620924,0.0064129393561215275
ER(0.5),14,2,20272013,2,1,0.8250031063612697,0.8332244475045842,0.00822134114331452
ER(0.5),14,2,20272013,2,3,0.8618411950051401,0.9008575628620924,0.03901636785695228
ER(0.5),14,2,20272013,3,1,0.8298849082416899,0.8332244475045842,0.00333953926289432
ER(0.5),14,2,20272013,3,3,0.8946685428546971,0.9008575628620924,0.006189020007395296
ER(0.5),14,3,20272014,1,1,0.7996124548334341,0.8004775169660114,0.00086506213257731
ER(0.5),14,3,20272014,1,3,0.8789769850568834,0.8834524243886568,0.004475439331773412
ER(0.5),14,3,20272014,2,1,0.798591538067698,0.8004775169660114,0.001885978898313434
ER(0.5),14,3,20272014,2,3,0.8614684934500447,0.8834524243886568,0.021983930938612062
ER(0.5),14,3,20272014,3,1,0.7996124548334341,0.8004775169660114,0.00086506213257731
ER(0.5),14,3,20272014,3,3,0.8763525330010985,0.8834524243886568,0.007099891387558288
ER(0.5),14,4,20272015,1,1,0.8238638870074114,0.8245293656269178,0.0006654786195063878
ER(0.5),14,4,20272015,1,3,0.9073754812923248,0.9084022887862953,0.0010268074939704386
