family,n,instance,model,tag,pearson,spearman_grid,dgamma,dbeta,same_argmax,slicesum_min,slicesum_max
ER(0.5),12,10,tri_init,raw,0.19292597536174144,0.18308811532548006,0.6444292622748293,0.0,0,7784.0,7784.000000000001
ER(0.5),12,10,tri_init,cal,0.19292597536174141,0.18308513762994624,0.6444292622748293,0.0,0,7784.0,7784.000000000001
ER(0.5),12,10,tri_25,raw,0.30890980802017665,0.3241097436395906,0.4027682889217684,1.0069207223044208,0,13330.182935631678,13358.49276774848
ER(0.5),12,10,tri_25,cal,0.3089165035758479,0.3241208033657436,0.4027682889217684,1.0069207223044208,0,13330.182935631678,13358.49276774848
ER(0.5),12,10,tri_50,raw,0.32184009383232615,0.33970661838822147,0.4027682889217684,1.0069207223044208,0,14005.457124682107,14005.457124682109
ER(0.5),12,10,tri_50,cal,0.3218400938323262,0.3397039582828771,0.4027682889217684,1.0069207223044208,0,14005.457124682107,14005.457124682109
ER(0.5),12,10,tri_fit,raw,0.3218424711441936,0.33970717593036903,0.4027682889217684,1.0069207223044208,0,14005.322473492619,14005.322473492623
ER(0.5),12,10,tri_fit,cal,0.3218424711441935,0.3397059618653172,0.4027682889217684,1.0069207223044208,0,14005.322473492619,14005.322473492623
ER(0.5),12,10,norm_init,raw,-0.10546354901839132,-0.5206136223501839,0.32221463113741466,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,10,norm_init,cal,-0.10546354901839136,-0.5206129606201486,0.32221463113741466,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,10,norm_25,raw,0.4360288898863522,0.7042169298786074,0.32221463113741466,0.28193780224523785,0,3943.8041736535515,4016.295813428046
