family,n,instance,seed,m,kind,K,p,value,ceil,regret
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,8,1,0.05793647545099336,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,8,1,0.1717340275662778,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,8,1,0.5391470230386539,,
ER(0.5),14,7,20262113,50,binned_proxy,8,1,0.7811934378109594,0.8193277207521352,0.03813428294117582
ER(0.5),14,7,20262113,50,binned_proxy,8,3,0.79948023972614,0.9069249285077355,0.10744468878159552
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,16,1,0.03861720887128727,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,16,1,0.14670724254416354,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,16,1,0.5105592497368914,,
ER(0.5),14,7,20262113,50,binned_proxy,16,1,0.7839747469826441,0.8193277207521352,0.03535297376949109
ER(0.5),14,7,20262113,50,binned_proxy,16,3,0.803900006163999,0.9069249285077355,0.1030249223437365
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,32,1,0.02691872956237632,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,32,1,0.13567136087904388,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,32,1,0.49637241836249973,,
ER(0.5),14,7,20262113,50,binned_proxy,32,1,0.7839747469826441,0.8193277207521352,0.03535297376949109
ER(0.5),14,7,20262113,50,binned_proxy,32,3,0.803900006163999,0.9069249285077355,0.1030249223437365
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,64,1,0.02010536507225288,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,64,1,0.13054273666166188,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,64,1,0.4881796924378214,,
ER(0.5),14,7,20262113,50,binned_proxy,64,1,0.7839747469826441,0.8193277207521352,0.03535297376949109
ER(0.5),14,7,20262113,50,binned_proxy,64,3,0.8311126253076889,0.9069249285077355,0.07581230320004662
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,128,1,0.016851978484680192,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,128,1,0.12809702421829788,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,128,1,0.4827293019854184,,
ER(0.5),14,7,20262113,50,binned_proxy,128,1,0.7839747469826441,0.8193277207521352,0.03535297376949109
ER(0.5),14,7,20262113,50,binned_proxy,128,3,0.8384815060310952,0.9069249285077355,0.06844342247664037
ER(0.5),14,8,20262114,43,ceiling,0,1,0.8179481455077091,0.8179481455077091,0.0
ER(0.5),14,8,20262114,43,ceiling,0,3,0.9111014916376005,0.9111014916376005,0.0
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,4,1,0.07501245364522312,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,4,1,0.19193852735313774,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,4,1,0.49826359815924215,,
ER(0.5),14,8,20262114,43,binned_proxy,4,1,0.732281226275155,0.8179481455077091,0.0856669192325541
ER(0.5),14,8,20262114,43,binned_proxy,4,3,0.7647602255914143,0.9111014916376005,0.14634126604618614
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,8,1,0.04890329467039837,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,8,1,0.14011352603689228,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,8,1,0.44337831252689686,,
ER(0.5),14,8,20262114,43,binned_proxy,8,1,0.762043611712258,0.8179481455077091,0.05590453379545113
ER(0.5),14,8,20262114,43,binned_proxy,8,3,0.799285535555139,0.9111014916376005,0.11181595608246142
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,16,1,0.03249039151676718,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,16,1,0.11371148547739907,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,16,1,0.4130649026764268,,
ER(0.5),14,8,20262114,43,binned_proxy,16,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,binned_proxy,16,3,0.818237112676549,0.9111014916376005,0.09286437896105149
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,32,1,0.022081559251521096,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,32,1,0.10140703038894675,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,32,1,0.3968074181761894,,
ER(0.5),14,8,20262114,43,binned_proxy,32,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,binned_proxy,32,3,0.818237112676549,0.9111014916376005,0.09286437896105149
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,64,1,0.01606888306785099,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,64,1,0.0962872673914667,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,64,1,0.3878484795880722,,
ER(0.5),14,8,20262114,43,binned_proxy,64,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,binned_proxy,64,3,0.8257647525667284,0.9111014916376005,0.08533673907087203
ER(0.5),14,8,20262114,43,leak_g0.2_b0.2,128,1,0.012951232464911202,,
ER(0.5),14,8,20262114,43,leak_g0.5_b0.3,128,1,0.0938571506934756,,
ER(0.5),14,8,20262114,43,leak_g1.0_b0.4,128,1,0.38306850510087753,,
ER(0.5),14,8,20262114,43,binned_proxy,128,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,binned_proxy,128,3,0.8264492874692556,0.9111014916376005,0.08465220416834485
ER(0.5),14,9,20262115,40,ceiling,0,1,0.807805254303918,0.807805254303918,0.0
ER(0.5),14,9,20262115,40,ceiling,0,3,0.9046253996944436,0.9046253996944436,0.0
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,4,1,0.065105610728352,,
ER(0.5),14,9,20262115,40,leak_g0.5_b0.3,4,1,0.1715575141965726,,
ER(0.5),14,9,20262115,40,leak_g1.0_b0.4,4,1,0.4388561383257653,,
ER(0.5),14,9,20262115,40,binned_proxy,4,1,0.704691120470768,0.807805254303918,0.10311413383315005
ER(0.5),14,9,20262115,40,binned_proxy,4,3,0.7662565880722065,0.9046253996944436,0.13836881162223702
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,8,1,0.04176626629118789,,
ER(0.5),14,9,20262115,40,leak_g0.5_b0.3,8,1,0.12148552184339749,,
ER(0.5),14,9,20262115,40,leak_g1.0_b0.4,8,1,0.37581680400258494,,
ER(0.5),14,9,20262115,40,binned_proxy,8,1,0.7479533999934624,0.807805254303918,0.05985185431045559
ER(0.5),14,9,20262115,40,binned_proxy,8,3,0.7898501733266471,0.9046253996944436,0.11477522636779647
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,16,1,0.027162359808293738,,
ER(0.5),14,9,20262115,40,leak_g0.5_b0.3,16,1,0.09321877690374376,,
ER(0.5),14,9,20262115,40,leak_g1.0_b0.4,16,1,0.33794764635644925,,
ER(0.5),14,9,20262115,40,binned_proxy,16,1,0.7671418889767091,0.807805254303918,0.040663365327208933
ER(0.5),14,9,20262115,40,binned_proxy,16,3,0.7898501733266471,0.9046253996944436,0.11477522636779647
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,32,1,0.018334600541166098,,
ER(0.5),14,9,20262115,40,leak_g0.5_b0.3,32,1,0.079369178613644,,
ER(0.5),14,9,20262115,40,leak_g1.0_b0.4,32,1,0.318896816054396,,
ER(0.5),14,9,20262115,40,binned_proxy,32,1,0.7671418889767091,0.807805254303918,0.040663365327208933
ER(0.5),14,9,20262115,40,binned_proxy,32,3,0.7968235723998902,0.9046253996944436,0.10780182729455334
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,64,1,0.013182292197738905,,
ER(0.5),14,9,20262115,40,leak_g0.5_b0.3,64,1,0.07324555288164662,,
ER(0.5),14,9,20262115,40,leak_g1.0_b0.4,64,1,0.30941286927372275,,
ER(0.5),14,9,20262115,40,binned_proxy,64,1,0.7671418889767091,0.807805254303918,0.040663365327208933
ER(0.5),14,9,20262115,40,binned_proxy,64,3,0.7968235723998902,0.9046253996944436,0.10780182729455334
ER(0.5),14,9,20262115,40,leak_g0.2_b0.2,128,1,0.010481903511377429,,
