density,n,instance,seed,m,method,p,ar,ceil,regret
4n,14,5,20262123,56,transfer_2,3,0.8370149653067073,0.8370149653067073,0.0
4n,14,5,20262123,56,transfer_3,3,0.8370149653067073,0.8370149653067073,0.0
4n,14,5,20262123,56,universal,3,0.8334775698117,0.8370149653067073,0.0035373954950073117
4n,14,6,20262124,56,leak_g0.2_b0.2,1,0.04928347361201722,,
4n,14,6,20262124,56,leak_g0.5_b0.3,1,0.34729543342892555,,
4n,14,6,20262124,56,leak_g1.0_b0.4,1,0.8531388003224156,,
4n,14,6,20262124,56,ceiling,1,0.7739064248064303,0.7739064248064303,0.0
4n,14,6,20262124,56,exactN,1,0.7469432218388501,0.7739064248064303,0.026963202967580258
4n,14,6,20262124,56,sampledN,1,0.7694398648081848,0.7739064248064303,0.004466559998245523
4n,14,6,20262124,56,transfer_1,1,0.7739064248064303,0.7739064248064303,0.0
4n,14,6,20262124,56,transfer_2,1,0.7715036852632405,0.7739064248064303,0.0024027395431898135
4n,14,6,20262124,56,transfer_3,1,0.7739064248064303,0.7739064248064303,0.0
4n,14,6,20262124,56,universal,1,0.7739064248064303,0.7739064248064303,0.0
4n,14,6,20262124,56,ceiling,3,0.8374564615517528,0.8374564615517528,0.0
4n,14,6,20262124,56,exactN,3,0.7942442315225825,0.8374564615517528,0.043212230029170295
4n,14,6,20262124,56,sampledN,3,0.778339582307107,0.8374564615517528,0.059116879244645815
4n,14,6,20262124,56,transfer_1,3,0.8353595815790505,0.8374564615517528,0.002096879972702248
4n,14,6,20262124,56,transfer_2,3,0.8374564615517528,0.8374564615517528,0.0
4n,14,6,20262124,56,transfer_3,3,0.8374564615517528,0.8374564615517528,0.0
4n,14,6,20262124,56,universal,3,0.8353595815790505,0.8374564615517528,0.002096879972702248
4n,14,7,20262125,56,leak_g0.2_b0.2,1,0.044648295900213096,,
4n,14,7,20262125,56,leak_g0.5_b0.3,1,0.32284468050837956,,
4n,14,7,20262125,56,leak_g1.0_b0.4,1,0.8364267272475241,,
4n,14,7,20262125,56,ceiling,1,0.7858551070080592,0.7858551070080592,0.0
4n,14,7,20262125,56,exactN,1,0.7559762431324963,0.7858551070080592,0.029878863875562822
4n,14,7,20262125,56,sampledN,1,0.7559762431324963,0.7858551070080592,0.029878863875562822
4n,14,7,20262125,56,transfer_1,1,0.7858551070080592,0.7858551070080592,0.0
4n,14,7,20262125,56,transfer_2,1,0.780550828419211,0.7858551070080592,0.005304278588848188
4n,14,7,20262125,56,transfer_3,1,0.7858551070080592,0.7858551070080592,0.0
4n,14,7,20262125,56,universal,1,0.7858551070080592,0.7858551070080592,0.0
4n,14,7,20262125,56,ceiling,3,0.845386464705105,0.845386464705105,0.0
4n,14,7,20262125,56,exactN,3,0.8008475233546748,0.845386464705105,0.04453894135043024
4n,14,7,20262125,56,sampledN,3,0.7855179069735013,0.845386464705105,0.05986855773160371
4n,14,7,20262125,56,transfer_1,3,0.8444860103496877,0.845386464705105,0.0009004543554173017
4n,14,7,20262125,56,transfer_2,3,0.845386464705105,0.845386464705105,0.0
4n,14,7,20262125,56,transfer_3,3,0.845386464705105,0.845386464705105,0.0
4n,14,7,20262125,56,universal,3,0.8444860103496877,0.845386464705105,0.0009004543554173017
4n,14,8,20262126,56,leak_g0.2_b0.2,1,0.042962359683172545,,
4n,14,8,20262126,56,leak_g0.5_b0.3,1,0.3158915135534953,,
4n,14,8,20262126,56,leak_g1.0_b0.4,1,0.8366270174415477,,
4n,14,8,20262126,56,ceiling,1,0.81057859714118,0.81057859714118,0.0
4n,14,8,20262126,56,exactN,1,0.7782162723213496,0.81057859714118,0.03236232481983037
4n,14,8,20262126,56,sampledN,1,0.7782162723213496,0.81057859714118,0.03236232481983037
4n,14,8,20262126,56,transfer_1,1,0.81057859714118,0.81057859714118,0.0
4n,14,8,20262126,56,transfer_2,1,0.8049480604333258,0.81057859714118,0.0056305367078541835
4n,14,8,20262126,56,transfer_3,1,0.81057859714118,0.81057859714118,0.0
4n,14,8,20262126,56,universal,1,0.81057859714118,0.81057859714118,0.0
4n,14,8,20262126,56,ceiling,3,0.8738704374152914,0.8738704374152914,0.0
4n,14,8,20262126,56,exactN,3,0.8252972701080284,0.8738704374152914,0.04857316730726291
4n,14,8,20262126,56,sampledN,3,0.8252972701080284,0.8738704374152914,0.04857316730726291
4n,14,8,20262126,56,transfer_1,3,0.8719813056696047,0.8738704374152914,0.001889131745686612
4n,14,8,20262126,56,transfer_2,3,0.8738704374152914,0.8738704374152914,0.0
4n,14,8,20262126,56,transfer_3,3,0.8738704374152914,0.8738704374152914,0.0
4n,14,8,20262126,56,universal,3,0.8719813056696047,0.8738704374152914,0.001889131745686612
4n,14,9,20262127,56,leak_g0.2_b0.2,1,0.0440498167980575,,
4n,14,9,20262127,56,leak_g0.5_b0.3,1,0.3194817122156716,,
4n,14,9,20262127,56,leak_g1.0_b0.4,1,0.8314332707259646,,
4n,14,9,20262127,56,ceiling,1,0.7885336108899322,0.7885336108899322,0.0
4n,14,9,20262127,56,exactN,1,0.7566561710840012,0.7885336108899322,0.03187743980593105
4n,14,9,20262127,56,sampledN,1,0.7726538765869267,0.7885336108899322,0.01587973430300549
4n,14,9,20262127,56,transfer_1,1,0.7885336108899322,0.7885336108899322,0.0
4n,14,9,20262127,56,transfer_2,1,0.7823662890679509,0.7885336108899322,0.00616732182198132
4n,14,9,20262127,56,transfer_3,1,0.7885336108899322,0.7885336108899322,0.0
4n,14,9,20262127,56,universal,1,0.7885336108899322,0.7885336108899322,0.0
4n,14,9,20262127,56,ceiling,3,0.8500156176725558,0.8500156176725558,0.0
4n,14,9,20262127,56,exactN,3,0.8024082690921123,0.8500156176725558,0.047607348580443576
4n,14,9,20262127,56,sampledN,3,0.7878807114177248,0.8500156176725558,0.06213490625483109
4n,14,9,20262127,56,transfer_1,3,0.8483783319196357,0.8500156176725558,0.0016372857529201035
4n,14,9,20262127,56,transfer_2,3,0.8500156176725558,0.8500156176725558,0.0
4n,14,9,20262127,56,transfer_3,3,0.8500156176725558,0.8500156176725558,0.0
4n,14,9,20262127,56,universal,3,0.8483783319196357,0.8500156176725558,0.0016372857529201035
4n,14,10,20262128,56,leak_g0.2_b0.2,1,0.043942118241540526,,
4n,14,10,20262128,56,leak_g0.5_b0.3,1,0.31916026197004244,,
4n,14,10,20262128,56,leak_g1.0_b0.4,1,0.8335505369114993,,
4n,14,10,20262128,56,ceiling,1,0.7885060486053009,0.7885060486053009,0.0
4n,14,10,20262128,56,exactN,1,0.7566526815100882,0.7885060486053009,0.03185336709521269
4n,14,10,20262128,56,sampledN,1,0.7727580364958736,0.7885060486053009,0.015748012109427334
4n,14,10,20262128,56,transfer_1,1,0.7885060486053009,0.7885060486053009,0.0
4n,14,10,20262128,56,transfer_2,1,0.782296647940005,0.7885060486053009,0.006209400665295961
4n,14,10,20262128,56,transfer_3,1,0.7885060486053009,0.7885060486053009,0.0
4n,14,10,20262128,56,universal,1,0.7885060486053009,0.7885060486053009,0.0
4n,14,10,20262128,56,ceiling,3,0.8473328251332416,0.8473328251332416,0.0
4n,14,10,20262128,56,exactN,3,0.8019016908518806,0.8473328251332416,0.04543113428136103
4n,14,10,20262128,56,sampledN,3,0.7874258628100076,0.8473328251332416,0.059906962323234
4n,14,10,20262128,56,transfer_1,3,0.8460921099266608,0.8473328251332416,0.0012407152065807558
4n,14,10,20262128,56,transfer_2,3,0.8473328251332416,0.8473328251332416,0.0
4n,14,10,20262128,56,transfer_3,3,0.8473328251332416,0.8473328251332416,0.0
4n,14,10,20262128,56,universal,3,0.8460921099266608,0.8473328251332416,0.0012407152065807558
