family,n,instance,seed,m,method,p,ar,ceil,regret
ER(0.5),14,9,20262115,40,transfer_3,1,0.807805254303918,0.807805254303918,0.0
ER(0.5),14,9,20262115,40,universal,1,0.8055456029714786,0.807805254303918,0.0022596513324394385
ER(0.5),14,9,20262115,40,ceiling,3,0.9046253996944436,0.9046253996944436,0.0
ER(0.5),14,9,20262115,40,binned_exact,3,0.7968235723998902,0.9046253996944436,0.10780182729455334
ER(0.5),14,9,20262115,40,binned_sampled,3,0.8259772393877052,0.9046253996944436,0.07864816030673838
ER(0.5),14,9,20262115,40,transfer_1,3,0.898954727709669,0.9046253996944436,0.005670671984774556
ER(0.5),14,9,20262115,40,transfer_2,3,0.8946085974789533,0.9046253996944436,0.010016802215490284
ER(0.5),14,9,20262115,40,transfer_3,3,0.8945852754937867,0.9046253996944436,0.010040124200656808
ER(0.5),14,9,20262115,40,universal,3,0.8791173254608712,0.9046253996944436,0.025508074233572375
ER(0.5),14,10,20262116,50,ceiling,1,0.8237392946132986,0.8237392946132986,0.0
ER(0.5),14,10,20262116,50,binned_exact,1,0.7876334887271053,0.8237392946132986,0.03610580588619339
ER(0.5),14,10,20262116,50,binned_sampled,1,0.7956173722645057,0.8237392946132986,0.02812192234879296
ER(0.5),14,10,20262116,50,transfer_1,1,0.8052693764014254,0.8237392946132986,0.01846991821187327
ER(0.5),14,10,20262116,50,transfer_2,1,0.7965655297382325,0.8237392946132986,0.027173764875066175
ER(0.5),14,10,20262116,50,transfer_3,1,0.8052693764014254,0.8237392946132986,0.01846991821187327
ER(0.5),14,10,20262116,50,universal,1,0.7965655297382325,0.8237392946132986,0.027173764875066175
ER(0.5),14,10,20262116,50,ceiling,3,0.9088201221773226,0.9088201221773226,0.0
ER(0.5),14,10,20262116,50,binned_exact,3,0.8361020390875923,0.9088201221773226,0.07271808308973027
ER(0.5),14,10,20262116,50,binned_sampled,3,0.8438135487493218,0.9088201221773226,0.06500657342800076
ER(0.5),14,10,20262116,50,transfer_1,3,0.8872176981044521,0.9088201221773226,0.021602424072870496
ER(0.5),14,10,20262116,50,transfer_2,3,0.8645747741031076,0.9088201221773226,0.044245348074214985
ER(0.5),14,10,20262116,50,transfer_3,3,0.8445219977261641,0.9088201221773226,0.06429812445115846
ER(0.5),14,10,20262116,50,universal,3,0.8075509242635677,0.9088201221773226,0.10126919791375488
