family,n,instance,seed,m,ceil_p1,ar_paper_raw_p1,ar_paper_strict_p1,ar_paper_loose_p1,frac_sane_p1,ceil_p3,ar_paper_raw_p3,ar_paper_strict_p3,ar_paper_loose_p3,frac_sane_p3
ER(0.25),12,12,20281823,12,0.7708736684780063,0.765669369367895,0.5278498872311901,0.5278498872311901,0.0,0.8810752355042836,0.8265342265689374,0.5417421742785439,0.5417421742785439,0.0
ER(0.25),12,13,20281824,24,0.8228041997259071,0.8132470622670682,0.6958088410944947,0.7011692222949696,0.276875,0.8998942742882475,0.8516843369960688,0.642712371645097,0.642712371645097,0.0
ER(0.25),12,14,20281825,24,0.832162639711816,0.8243507562423158,0.6743407363974284,0.6847850890371046,0.276875,0.9208963183381884,0.8648362751448879,0.6443897670759421,0.6443897670759421,0.0
ER(0.25),12,15,20281826,15,0.7776218771329912,0.7672551604114373,0.5616558639215026,0.5691647168241034,0.003125,0.8961649905167157,0.8381161684569732,0.5664377031895659,0.5664377031895659,0.0
ER(0.25),12,16,20281827,16,0.8028092525595103,0.7869975075367275,0.5421700327710438,0.4988685243754162,0.010625,0.9017351628551682,0.8493754532343021,0.6066656525126718,0.6066656525126718,0.0
ER(0.25),12,17,20281828,9,0.8437765147266431,0.8247095364634256,0.20418824300506294,0.20418824300506294,0.0,0.9199758393251243,0.8830414682728938,0.5539016146055092,0.5539016146055092,0.0
ER(0.25),12,18,20281829,15,0.7964163535051649,0.7919692127132816,0.5545214116281021,0.566892371218177,0.003125,0.9035334672561522,0.8594481233994481,0.5734161654191419,0.5734161654191419,0.0
ER(0.25),12,19,20281830,21,0.7941637505913122,0.7821024732660258,0.5567338711135236,0.5394739467343976,0.161875,0.8999051820061693,0.858972488309684,0.604616985306059,0.604616985306059,0.0
ER(0.25),12,20,20281831,20,0.7620293513208537,0.749630570858023,0.48510362633858906,0.5821447474731963,0.12625,0.8748538370358913,0.8229445639260003,0.580075678123724,0.580075678123724,0.0
ER(0.25),12,21,20281832,17,0.7488098678180312,0.738361428516544,0.45970042996821187,0.555320668089556,0.026875,0.8764117155316508,0.8291581173255016,0.56016736778134,0.56016736778134,0.0
ER(0.25),12,22,20281833,18,0.7817064626409234,0.7700279422058022,0.5651293618591526,0.5510628897805041,0.063125,0.9018729090344532,0.8531610916329806,0.5922979317890966,0.5922979317890966,0.0
ER(0.25),12,23,20281834,18,0.7480313362351463,0.7404790876714129,0.5196361151377908,0.5071970363022436,0.063125,0.8827616863394723,0.8291467494042862,0.5572277947027746,0.5572277947027746,0.0
ER(0.25),12,24,20281835,18,0.8271249492690294,0.8111575337846583,0.6037069338183946,0.5885656627788711,0.063125,0.9276540393163542,0.8893594356454759,0.6334784200164163,0.6334784200164163,0.0
ER(0.25),12,25,20281836,12,0.7637789791488191,0.7560010727000782,0.4750359125611226,0.4750359125611226,0.0,0.8640838983200954,0.8252139367098213,0.5337469799102148,0.5337469799102148,0.0
ER(0.25),12,26,20281837,19,0.7834922808767725,0.7738976375408186,0.5143470245327051,0.5843546797740784,0.09625,0.870821038954976,0.8376790888150781,0.5871421255301694,0.5871421255301694,0.0
ER(0.25),12,27,20281838,21,0.7745373615475093,0.7585724648664438,0.5613760672673723,0.5434729072230542,0.161875,0.8979263010979704,0.8377596346824676,0.6000153831350759,0.6000153831350759,0.0
ER(0.25),12,28,20281839,16,0.8184952224302152,0.8057102139070362,0.5549104803578447,0.5021212589439897,0.010625,0.9095120429392718,0.8730288721271577,0.607632332461072,0.607632332461072,0.0
ER(0.25),12,29,20281840,20,0.8069427630130568,0.7939236930626755,0.5215475510453331,0.6223939122546576,0.12625,0.9022017975919872,0.8617315512357046,0.6165009370133483,0.6165009370133483,0.0
ER(0.25),12,30,20281841,14,0.7508699068621816,0.7442748406812034,0.5076269715695504,0.48878529312660446,0.0,0.848821763321378,0.8165370464412189,0.52880347950721,0.52880347950721,0.0
ER(0.25),14,1,20282012,22,0.7957785854954411,0.7804944665150625,0.5890707781582584,0.6077672627584758,0.00875,0.8890052149788955,0.8462573136618566,0.6027232122972518,0.6027232122972518,0.0
ER(0.25),14,2,20282013,24,0.7638638083489783,0.7524889900500297,0.5879303027621207,0.5563224838715077,0.025625,0.87504640352872,0.8305022748314996,0.5924597910465071,0.5924597910465071,0.0
ER(0.25),14,3,20282014,23,0.7525421791405413,0.7455125078019654,0.5724433352523715,0.5245932033786432,0.015,0.87544248068385,0.8254011286835757,0.5694729109905243,0.5694729109905243,0.0
ER(0.25),14,4,20282015,23,0.7633226081124465,0.7572079800958582,0.5731745948308058,0.5331254525720783,0.015,0.8716409334939794,0.82728838895144,0.5699838002569473,0.5699838002569473,0.0
ER(0.25),14,5,20282016,26,0.8101563370657182,0.7943350534686437,0.6284507937587781,0.5895226334602011,0.06125,0.9143320373505255,0.8740081566284935,0.647252086616987,0.647252086616987,0.0
ER(0.25),14,6,20282017,24,0.7982546435558324,0.7849150748904703,0.5936762214275932,0.5505341329297773,0.025625,0.89398655628628,0.8652311439036979,0.6220389995948079,0.6220389995948079,0.0
ER(0.25),14,7,20282018,18,0.7773433937794283,0.7630326859935802,0.5465534173872205,0.5465534173872205,0.0,0.8826676273548789,0.8447448100453329,0.5900167857258783,0.5900167857258783,0.0
ER(0.25),14,8,20282019,24,0.7320142400143693,0.7218931429357272,0.5399845744557888,0.5006086348472779,0.025625,0.8421639814824831,0.8049247219490842,0.5646075518577063,0.5646075518577063,0.0
ER(0.25),14,9,20282020,18,0.8109788995180817,0.8028672740384217,0.5821844724624073,0.5821844724624073,0.0,0.9059638540329176,0.8671574687404842,0.5940779575220646,0.5940779575220646,0.0
ER(0.25),14,10,20282021,22,0.7587223744972146,0.7511272252131228,0.5531978375953498,0.5888994087862179,0.00875,0.8711163397266019,0.8321817105738099,0.5732583706600914,0.5732583706600914,0.0
ER(0.25),14,11,20282022,24,0.8114138846767143,0.784024249848967,0.6349961444151515,0.601975461276461,0.025625,0.8948110957158958,0.8654837447336052,0.6514722320397899,0.6514722320397899,0.0
ER(0.25),14,12,20282023,21,0.7910383490973726,0.7721672900129702,0.6081568155602307,0.6053652120985699,0.003125,0.8864787116138544,0.8531102368942344,0.606644209769181,0.606644209769181,0.0
ER(0.25),14,13,20282024,18,0.8148035476800288,0.804264179552738,0.5821844724624071,0.5821844724624071,0.0,0.9092009785444956,0.8738698942192935,0.5938028347141352,0.5938028347141352,0.0
ER(0.25),14,14,20282025,20,0.775506052818805,0.7652364848069287,0.5709426495649972,0.5626168501720962,0.0,0.8738813223527024,0.844067856104094,0.5809452930110452,0.5809452930110452,0.0
ER(0.25),14,15,20282026,27,0.7911158467839705,0.7817115774065267,0.4890273510849138,0.5635323639053497,0.0875,0.8869691101620887,0.8429727238707017,0.611471913015776,0.611471913015776,0.0
ER(0.25),14,16,20282027,18,0.7662810322363525,0.7578418077521136,0.5374469144002599,0.5374469144002599,0.0,0.8775029262282559,0.8328123979466815,0.5568475098502959,0.5568475098502959,0.0
ER(0.25),14,17,20282028,25,0.8054879545020768,0.7955163521554954,0.6225628707477011,0.5792066346365891,0.0375,0.9164506420791984,0.8721591343474128,0.6227621236306213,0.6227621236306213,0.0
ER(0.25),14,18,20282029,18,0.7714573460213825,0.7655804285159507,0.5374469144002598,0.5374469144002598,0.0,0.8812073944935332,0.8342017824289369,0.5579102826382315,0.5579102826382315,0.0
ER(0.25),14,19,20282030,24,0.7801398830574959,0.7713727982329385,0.5738033117898176,0.5361306747128077,0.025625,0.8830530017939646,0.8520114344720653,0.5935406288480232,0.5935406288480232,0.0
ER(0.25),14,20,20282031,26,0.8172061613224939,0.7987215999269108,0.6215342864765118,0.5669395987038195,0.06125,0.8959769271934203,0.8575340815012076,0.6471436485829246,0.6471436485829246,0.0
ER(0.25),14,21,20282032,20,0.7089759179614354,0.7043357681176544,0.521158334080789,0.5174456232207021,0.0,0.8437982370771806,0.7775752933984048,0.5223361101656233,0.5223361101656233,0.0
ER(0.25),14,22,20282033,24,0.8094831974265501,0.7981832540639445,0.5908776495253951,0.5634485161937905,0.025625,0.9250816267459105,0.8834341488829376,0.6241777845730855,0.6241777845730855,0.0
ER(0.25),14,23,20282034,18,0.7574565161751551,0.7497463099299042,0.5457979429335068,0.5457979429335068,0.0,0.8845299512580533,0.828247160055281,0.5570928677480669,0.5570928677480669,0.0
ER(0.25),14,24,20282035,26,0.8015942332826318,0.791156329043707,0.5984202954577678,0.5502666513318886,0.06125,0.898937583710478,0.8541387535462258,0.6168392600257339,0.6168392600257339,0.0
ER(0.25),14,25,20282036,22,0.7665099199042766,0.7500294283072362,0.5883935714170598,0.6210922046071273,0.00875,0.8748357419260941,0.834257695686238,0.6015911747981836,0.6015911747981836,0.0
ER(0.25),14,26,20282037,21,0.779125230565207,0.7719611071864345,0.5775195878742859,0.5749200610744735,0.003125,0.8926398272434564,0.844631310378127,0.5779116436285301,0.5779116436285301,0.0
ER(0.25),14,27,20282038,22,0.7703402909227876,0.7641534036191647,0.5635382099792382,0.5831280888866676,0.00875,0.8681251249669613,0.8358299197900403,0.5738772391616284,0.5738772391616284,0.0
ER(0.25),14,28,20282039,31,0.7960529957943668,0.7798001928880213,0.6019862666394399,0.6604832475445436,0.193125,0.889268313272887,0.831367632868246,0.6429481955201483,0.6429481955201483,0.0
ER(0.25),14,29,20282040,20,0.7746392021282071,0.7611193437840034,0.5709426495649974,0.5636645423152404,0.0,0.8723113019703492,0.8429228388758676,0.5806557406064279,0.5806557406064279,0.0
ER(0.25),14,30,20282041,19,0.7503931185978867,0.743029169789506,0.5509637378510622,0.5509637378510622,0.0,0.8598524165991387,0.8144719906736784,0.5534355012288823,0.5534355012288823,0.0
