family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),14,3,20272014,47,0.4,0.3,2,4.251211020834928,3.925639630572524,0.07658321091726535,0.12286649938310601
ER(0.5),14,3,20272014,47,0.4,0.3,5,4.251211020834928,4.209707253864899,0.009762810353713772,0.06035917448471065
ER(0.5),14,3,20272014,47,0.4,0.3,10,4.251211020834928,4.319728781451712,0.01611723348499576,0.03949516235846441
ER(0.5),14,3,20272014,47,0.4,0.3,25,4.251211020834928,4.224750526552949,0.006224225086051426,0.0255009398490312
ER(0.5),14,3,20272014,47,0.8,0.6,2,5.2444283265463065,5.228285070807937,0.0030781726306860742,0.10930715970412003
ER(0.5),14,3,20272014,47,0.8,0.6,5,5.2444283265463065,5.4161120461294425,0.03273640307259142,0.04306755166024411
ER(0.5),14,3,20272014,47,0.8,0.6,10,5.2444283265463065,5.371047333036399,0.024143528828332195,0.05104918999679837
ER(0.5),14,3,20272014,47,0.8,0.6,25,5.2444283265463065,5.237524608513771,0.0013163909586846236,0.0230697835487791
ER(0.5),12,4,20271815,37,0.2,0.15,2,1.9768413324980159,1.895684301187437,0.041053892376898896,0.22472044491697712
ER(0.5),12,4,20271815,37,0.2,0.15,5,1.9768413324980159,1.9049283575638616,0.036377717195584004,0.13115290037170926
ER(0.5),12,4,20271815,37,0.2,0.15,10,1.9768413324980159,2.0199280739686363,0.02179575101061565,0.08725573948908572
ER(0.5),12,4,20271815,37,0.2,0.15,25,1.9768413324980159,1.9975296611514841,0.010465346061601037,0.055779404162914076
ER(0.5),12,4,20271815,37,0.2,0.15,0,1.9768413324980159,1.9768413324980143,7.862604898649746e-16,6.738316135231094e-16
ER(0.5),12,4,20271815,37,0.4,0.3,2,3.381475676306576,3.568847355328773,0.05541121597741433,0.08385145950692867
ER(0.5),12,4,20271815,37,0.4,0.3,5,3.381475676306576,3.320252044093356,0.01810559592139124,0.059835346103211604
ER(0.5),12,4,20271815,37,0.4,0.3,10,3.381475676306576,3.441515399917392,0.017755479961457064,0.03183925075901888
ER(0.5),12,4,20271815,37,0.4,0.3,25,3.381475676306576,3.4254504226079154,0.013004602283394468,0.02420604037803052
ER(0.5),12,4,20271815,37,0.4,0.3,0,3.381475676306576,3.3814756763065734,7.879800164674613e-16,8.89328232046227e-16
ER(0.5),12,4,20271815,37,0.8,0.6,2,4.316407263803373,4.785538048738734,0.10868547758906086,0.08347458354159798
ER(0.5),12,4,20271815,37,0.8,0.6,5,4.316407263803373,4.095164655957175,0.05125619394200795,0.0674083508942986
ER(0.5),12,4,20271815,37,0.8,0.6,10,4.316407263803373,4.5184715111108735,0.046813063494257304,0.039418435917085236
ER(0.5),12,4,20271815,37,0.8,0.6,25,4.316407263803373,4.3226203506170915,0.0014394116296255288,0.02245116975554408
ER(0.5),12,4,20271815,37,0.8,0.6,0,4.316407263803373,4.316407263803372,2.05767983746166e-16,8.026432725309483e-16
ER(0.5),14,4,20272015,42,0.2,0.15,2,2.45733224866343,2.468517849390698,0.004551928512455784,0.19270771315071927
ER(0.5),14,4,20272015,42,0.2,0.15,5,2.45733224866343,2.5111223105212557,0.021889617037778576,0.09171137897322368
ER(0.5),14,4,20272015,42,0.2,0.15,10,2.45733224866343,2.4749042673620227,0.007150851785773142,0.043922045202136606
ER(0.5),14,4,20272015,42,0.2,0.15,25,2.45733224866343,2.5277922207146046,0.028673359937183368,0.023978621109447127
ER(0.5),14,4,20272015,42,0.4,0.3,2,4.083449783687184,4.019714983338059,0.015608077416241683,0.12049304617242018
ER(0.5),14,4,20272015,42,0.4,0.3,5,4.083449783687184,4.3491697288724875,0.0650724165255607,0.07532777411172038
ER(0.5),14,4,20272015,42,0.4,0.3,10,4.083449783687184,4.185472633103141,0.024984475093467316,0.05425401255098094
ER(0.5),14,4,20272015,42,0.4,0.3,25,4.083449783687184,4.1223123395371495,0.009517089203647279,0.025254887253375567
ER(0.5),14,4,20272015,42,0.8,0.6,2,4.991550229630872,5.025021123351842,0.006705510749402124,0.06716751968615291
