family,n,inst,p,ceiling,kind,regret_raw,regret_norm
BA(k=2),14,3,3,0.89081,poly,0.368916,0.011071
BA(k=2),14,4,1,0.803383,exact,0.037547,0.079787
BA(k=2),14,4,1,0.803383,samp10,0.03563,0.018747
BA(k=2),14,4,1,0.803383,poly,0.09907,0.014771
BA(k=2),14,4,3,0.89529,exact,0.075206,0.017331
BA(k=2),14,4,3,0.89529,samp10,0.082069,0.017331
BA(k=2),14,4,3,0.89529,poly,0.269454,0.041927
BA(k=2),14,5,1,0.817184,exact,0.045342,0.087279
BA(k=2),14,5,1,0.817184,samp10,0.030488,0.024162
BA(k=2),14,5,1,0.817184,poly,0.09083,0.003247
BA(k=2),14,5,3,0.91672,exact,0.082851,0.03731
BA(k=2),14,5,3,0.91672,samp10,0.088626,0.012054
BA(k=2),14,5,3,0.91672,poly,0.214698,0.025889
BA(k=4),14,1,1,0.840825,exact,0.028433,0.035996
BA(k=4),14,1,1,0.840825,samp10,0.025726,0.007954
BA(k=4),14,1,1,0.840825,poly,0.126855,0.008348
BA(k=4),14,1,3,0.929698,exact,0.090536,0.032104
BA(k=4),14,1,3,0.929698,samp10,0.069314,0.007376
BA(k=4),14,1,3,0.929698,poly,0.226816,0.020992
BA(k=4),14,2,1,0.81141,exact,0.027208,0.033789
BA(k=4),14,2,1,0.81141,samp10,0.037601,0.007751
BA(k=4),14,2,1,0.81141,poly,0.129129,0.007751
BA(k=4),14,2,3,0.898292,exact,0.087664,0.034011
BA(k=4),14,2,3,0.898292,samp10,0.074088,0.035483
BA(k=4),14,2,3,0.898292,poly,0.277771,0.020382
BA(k=4),14,3,1,0.806631,exact,0.024608,0.052235
BA(k=4),14,3,1,0.806631,samp10,0.013222,0.014368
BA(k=4),14,3,1,0.806631,poly,0.116919,0.018793
BA(k=4),14,3,3,0.88898,exact,0.082542,0.075173
BA(k=4),14,3,3,0.88898,samp10,0.059122,0.035404
BA(k=4),14,3,3,0.88898,poly,0.229571,0.027434
BA(k=4),14,4,1,0.83703,exact,0.026077,0.059042
BA(k=4),14,4,1,0.83703,samp10,0.015838,0.029407
BA(k=4),14,4,1,0.83703,poly,0.145253,0.018131
BA(k=4),14,4,3,0.922881,exact,0.086006,0.030874
BA(k=4),14,4,3,0.922881,samp10,0.072832,0.020469
BA(k=4),14,4,3,0.922881,poly,0.229623,0.019517
BA(k=4),14,5,1,0.837276,exact,0.026116,0.055169
BA(k=4),14,5,1,0.837276,samp10,0.036735,0.02248
BA(k=4),14,5,1,0.837276,poly,0.12299,0.001193
BA(k=4),14,5,3,0.920489,exact,0.083659,0.05341
BA(k=4),14,5,3,0.920489,samp10,0.08911,0.014984
BA(k=4),14,5,3,0.920489,poly,0.284649,0.022671
WS(k=4;b=0.1),14,1,1,0.838571,exact,0.031451,0.060517
WS(k=4;b=0.1),14,1,1,0.838571,samp10,0.037323,0.026488
WS(k=4;b=0.1),14,1,1,0.838571,poly,0.172652,0.002857
WS(k=4;b=0.1),14,1,3,0.926998,exact,0.089567,0.04076
WS(k=4;b=0.1),14,1,3,0.926998,samp10,0.069716,0.024268
WS(k=4;b=0.1),14,1,3,0.926998,poly,0.436529,0.022361
WS(k=4;b=0.1),14,2,1,0.800063,exact,0.035095,0.036037
WS(k=4;b=0.1),14,2,1,0.800063,samp10,0.024556,0.008829
WS(k=4;b=0.1),14,2,1,0.800063,poly,0.183775,0.000685
