family,n,instance,seed,m,ramp,layer,leakage,cum_leakage,distance,overlap,compressed_norm
BA(k=4),18,9,20302420,56,small,28,0.18339955913014805,2.440722681160345,0.5230279005032584,0.7565085706558159,0.8451304341679419
BA(k=4),18,9,20302420,56,small,29,0.18719890447438547,2.6279215856347307,0.5944613093186805,0.7129787871111147,0.8241371372050179
BA(k=4),18,9,20302420,56,small,30,0.18886409025267598,2.816785675887407,0.6697163573895056,0.667352101300633,0.8022046972771428
WS(k=4;b=0.1),18,9,20312420,36,small,1,0.01028997206343505,0.01028997206343505,0.01028997206343505,0.999894116474927,0.9999470568359756
WS(k=4;b=0.1),18,9,20312420,36,small,2,0.02319959121127624,0.033489563274711295,0.031623124031817926,0.9991779388016448,0.9996778958457363
WS(k=4;b=0.1),18,9,20312420,36,small,3,0.0162620391412351,0.04975160241594639,0.04442678219689747,0.9985588764905202,0.9995456175310525
WS(k=4;b=0.1),18,9,20312420,36,small,4,0.004083684725422791,0.053835287141369176,0.046542532913713755,0.9984542869047772,0.9995372754653024
WS(k=4;b=0.1),18,9,20312420,36,small,5,0.0166588613088974,0.07049414845026658,0.056103340417383914,0.9978248988642732,0.9993984427566864
WS(k=4;b=0.1),18,9,20312420,36,small,6,0.02883159812820235,0.09932574657846893,0.08003730913637604,0.9957800967140407,0.9989824754888645
WS(k=4;b=0.1),18,9,20312420,36,small,7,0.025925424917349813,0.12525117149581874,0.09775355924002406,0.9938691220818141,0.9986460126975512
WS(k=4;b=0.1),18,9,20312420,36,small,8,0.007029227932672085,0.13228039942849082,0.10037788754101744,0.9935845656333698,0.998621273872825
WS(k=4;b=0.1),18,9,20312420,36,small,9,0.01814682261465346,0.15042722204314427,0.10155897192226072,0.9933005632691722,0.9984563793478267
WS(k=4;b=0.1),18,9,20312420,36,small,10,0.035993167356680685,0.18642038939982494,0.11777704641721591,0.9908751617985232,0.9978074129630469
WS(k=4;b=0.1),18,9,20312420,36,small,11,0.04137406555640552,0.22779445495623046,0.13814059462687095,0.9874127505591772,0.9969492565137619
WS(k=4;b=0.1),18,9,20312420,36,small,12,0.030235121084674098,0.2580295760409046,0.14691513976105666,0.9857050207739136,0.996490671063377
WS(k=4;b=0.1),18,9,20312420,36,small,13,0.010947957543451105,0.2689775335843557,0.14499658741153465,0.9859252707116412,0.9964305293104835
WS(k=4;b=0.1),18,9,20312420,36,small,14,0.028975688352354884,0.2979532219367106,0.1439570319416326,0.9856554642203195,0.9960091411360035
WS(k=4;b=0.1),18,9,20312420,36,small,15,0.05079458354605931,0.3487478054827699,0.14776128958727022,0.9838121950388558,0.994713084014109
WS(k=4;b=0.1),18,9,20312420,36,small,16,0.059710737892807765,0.4084585433755777,0.14905289293035742,0.9818467529416253,0.99291930552747
WS(k=4;b=0.1),18,9,20312420,36,small,17,0.053861876303670224,0.4623204196792479,0.1463068290599115,0.9808117372447557,0.9914573342157516
WS(k=4;b=0.1),18,9,20312420,36,small,18,0.038844562128081336,0.5011649818073293,0.14740316326627514,0.9798970868690586,0.9906960914242479
WS(k=4;b=0.1),18,9,20312420,36,small,19,0.03381416154974787,0.5349791433570772,0.1563359944064252,0.9779746629881384,0.9901188555127959
