family,n,instance,seed,m,ramp,E_cc,k_match,k90,k99,rank_max
WS(k=4;b=0.5),12,9,20321820,24,moderate,0.9726017410422185,2,2,3,21
WS(k=4;b=0.5),14,9,20322020,28,moderate,0.9563470970043904,2,2,3,21
WS(k=4;b=0.5),12,10,20321821,24,moderate,0.9807151627693089,2,2,3,21
WS(k=4;b=0.5),14,10,20322021,28,moderate,0.9398922758602959,3,2,4,21
WS(k=4;b=0.5),12,1,20321812,24,large,0.9205461256896635,2,2,7,21
WS(k=4;b=0.5),14,1,20322012,28,large,0.8810237775792851,2,3,8,21
WS(k=4;b=0.5),12,2,20321813,24,large,0.9204195788600399,3,2,7,21
WS(k=4;b=0.5),14,2,20322013,28,large,0.8860845338429909,2,3,8,21
WS(k=4;b=0.5),12,3,20321814,24,large,0.8721947752082537,3,3,8,21
WS(k=4;b=0.5),14,3,20322014,28,large,0.8875067025979588,2,3,8,21
WS(k=4;b=0.5),12,4,20321815,24,large,0.89059754855749,3,3,8,21
WS(k=4;b=0.5),14,4,20322015,28,large,0.8375134477395363,3,3,9,21
WS(k=4;b=0.5),12,5,20321816,24,large,0.8923576459618617,2,2,7,21
WS(k=4;b=0.5),14,5,20322016,28,large,0.8984336170752759,2,2,8,21
WS(k=4;b=0.5),12,6,20321817,24,large,0.9165105751003728,3,2,7,21
WS(k=4;b=0.5),14,6,20322017,28,large,0.8707856223633773,2,3,8,21
WS(k=4;b=0.5),12,7,20321818,24,large,0.9001635550210145,3,3,8,21
WS(k=4;b=0.5),14,7,20322018,28,large,0.866213255488215,3,3,10,21
WS(k=4;b=0.5),12,8,20321819,24,large,0.8873693749358393,3,3,8,21
WS(k=4;b=0.5),14,8,20322019,28,large,0.8657258080641776,3,3,8,21
WS(k=4;b=0.5),12,9,20321820,24,large,0.8955394526238439,2,2,7,21
WS(k=4;b=0.5),14,9,20322020,28,large,0.8739381846169708,2,3,8,21
