family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,5,0.010244005103446762,0.05215140335826934,0.03881606489629063,0.9989156033772921,0.9996688914982298
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,6,0.022314007216785295,0.07446541057505462,0.05638399473458562,0.9978304314034184,0.9994198205515179
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,7,0.028689905212172146,0.10315531578722677,0.07685924630309925,0.9960548766640615,0.9990079414349735
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,8,0.023681998927938045,0.12683731471516482,0.08626750483382317,0.9950082972818313,0.9987272049848849
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,9,0.010730546592426112,0.13756786130759094,0.08372313150481112,0.9951677262371331,0.9986695576349297
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,10,0.016889598529332583,0.15445745983692352,0.08150489050146757,0.9952073358928178,0.9985267281391429
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,11,0.03453899278305853,0.18899645261998205,0.09250161180738532,0.9936537326747359,0.9979291982830224
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,12,0.048129178434277865,0.2371256310542599,0.11065052142586342,0.9906545597988136,0.996767910282548
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,13,0.05480996028209976,0.29193559133635966,0.12452320971580132,0.9875321639016753,0.9952598330199565
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,14,0.05450918281119875,0.3464447741475584,0.13267188697452678,0.9850164841610665,0.9937660107953818
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,15,0.050280020083162506,0.39672479423072093,0.14124042961375452,0.9825949299206388,0.9924932260688758
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,16,0.04832256090335413,0.44504735513407506,0.1548924404764349,0.9794274166267626,0.9913161624327249
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,17,0.05427240534250246,0.4993197604765775,0.17135013879091515,0.9753291072276751,0.9898293994010697
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,18,0.06720904127981539,0.5665288017563929,0.18614798116536602,0.9705847529718441,0.9875450291955965
